,compound_id,rdkit_smiles,docking_score,rank
3876,CPD002427945,CCC(=O)NCCc1cccc2cccnc12,-4.534,5918.0
6731,CPD002414782,FC(F)(F)c1cnc(Sc2ncc(C(F)(F)F)cc2Cl)c(Cl)c1,-5.936,3227.0
4546,CPD002396553,O=C(NCc1ccccc1CN1CCCC1)c1cnn(-c2ccccc2)c1,-5.71,3570.0
3080,CPD002399014,Cc1cccc(C(=O)NCCc2c[nH]c3ccccc23)c1C,-5.157,4621.0
2190,CPD000626503,COc1ccc(C(=O)Nc2nnc(S(=O)(=O)N3CCC(C)CC3)s2)cc1OC,-6.508,2518.5
5369,CPD002455185,CCC1(C)Cc2c(sc3nc(SCC(=O)c4ccccc4)nc(N)c23)CO1,-5.342,4243.0
4311,CPD002456249,COC(=O)c1cc(C(C)C)sc1NC(=O)c1ccccc1Cl,-4.164,6463.5
1127,CPD002415213,COc1cc(/C=C(/CC(=O)O)c2nc3ccccc3s2)cc(OC)c1,-8.132,1230.0
174,CPD002430750,O=C(O)c1ccc(/C=C/C(=O)c2ccc(N3CCOCC3)cc2)cc1,-9.231,199.0
5727,CPD000456455,O=C(CN1C(=O)c2ccccc2S1(=O)=O)c1ccc(F)cc1,-6.333,2694.5
3150,CPD002499598,COc1ccc(C(=O)O)cc1CN1CCCCC1,-5.029,4925.0
473,CPD002444120,O=C(O)c1ccc(/C=C/C(=O)c2ccccc2C(=O)O)cc1,-8.768,525.0
6091,CPD002399915,COc1ccc(C)cc1NC(=O)c1cn(C)c2ccccc12,-4.787,5453.5
582,CPD002400171,O=C(O)c1cc(NC(=O)c2ccc(Cl)s2)cc(C(=O)O)c1,-8.661,639.0
4983,CPD002487913,O=C(NCCN1CCCCC1)c1nc(-c2cccc3[nH]ccc23)no1,-4.925,5147.0
4044,CPD000230960,CS(=O)(=O)N(CC(=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1)c1ccccc1F,-4.056,6580.5
934,CPD002456291,Cc1cc(C)c2nc(-c3cccnc3)cc(C(=O)O)c2c1,-8.29,1012.5
3622,CPD002435839,COc1ccc(-c2c(C)c3ccc(OC(=O)C(C)C)cc3oc2=O)cc1OC,-3.365,6890.0
1681,CPD002441578,O=C(O)c1cc(I)ccc1I,-7.517,1837.0
524,CPD002426868,O=C(O)CCc1ccc(S(=O)(=O)Nc2ccc3c(c2)CCC3)cc1,-8.713,579.5
589,CPD000652727,CCCc1cc(=O)oc2c3c(cc(OCC(=O)NC[C@H]4CC[C@H](C(=O)O)CC4)c12)OC(C)(C)CC3,-8.646,647.0
547,CPD002488008,CCOC(=O)N1CCN(C(C(=O)O)c2c[nH]c3ccc(OC)cc23)CC1,-8.694,601.5
32,CPD002427693,Cc1[nH]c(-c2ccccc2)nc1C(=O)O,-9.838,36.0
4292,CPD002376700,COc1ccccc1C1=NS(=O)(=O)N(C)C(C(=O)Nc2cccc(O)c2)=C1,-6.241,2802.0
625,CPD002499060,O=C(O)c1ccccc1-c1cc2ccccc2oc1=O,-8.601,685.0
3248,CPD000651091,O=C(COc1ccc2c(c1)oc(=O)c1ccccc12)N[C@@H](Cc1ccccc1)C(=O)O,-4.827,5357.0
