,rdkit_smiles
81891,COc1ccc(S(=O)(=O)N2CCOC23CCN(S(=O)(=O)c2ccc(Cl)cc2)CC3)cc1
54121,O=C(O)CCS(=O)(=O)C(Cl)Cl
70975,CCCCCCCCCCCC[S+]([O-])CCCC
52404,CCCCCCCCCCCCSCCS(=O)(=O)OCC(F)(F)C(F)F
62336,CCC(CO)NS(=O)(=O)c1ccc(Cl)c(C)c1
69827,CCCCCCCCCCOC(=O)CSC(=S)N(C)C
69363,CC(C)(CNC(=O)C1C2CCC(C2)C1C(=O)O)CNC(=O)C1C2CCC(C2)C1C(=O)O
68540,CCCC12CCC(NC(C)=O)(CC1)CC2
57773,CC(NS(C)(=O)=O)C(=O)O
63718,CCCN(CC#N)CC(=O)NC(C)(C#N)C(C)C
22399,O=C(O)C1CCCCN1C(=O)c1ccc(Cl)c(S(=O)(=O)N2CCCCC2)c1
48026,CCOC(=O)c1oc2c(c1C)C(=O)CSC2
15417,COc1ccc(S(=O)(=O)N2CCN(c3cc(N4CCCCC4)nc(C)n3)CC2)c(C)c1C
52568,CCCCN=C(S)NN
59994,CCC(CO)NS(=O)(=O)c1ccc(Cl)c(Cl)c1Cl
80389,COc1cc(OC)c(S(=O)(=O)N2CCOCC2)cc1S(=O)(=O)N1CCOCC1
47077,O=C(O)CC1(CC(=O)O)CCCC1
47773,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O
26550,Cc1cc(Cl)c(Cl)cc1S(=O)(=O)N(C)C
14576,Cc1ccc(S(=O)(=O)N2CCC(C(=O)O)CC2)cc1F
55762,CCN(CC)S(=O)(=O)c1ccc(S(=O)(=O)Nc2c(C)cccc2C)cc1
4175,COc1cc(C)c(C)cc1S(=O)(=O)N1CCN(c2c(C)cccc2C)CC1
69332,CCCCCCCC[S+]([O-])CCC(N)=O
63648,CCNC(=O)NC(=O)CN(CC)CC(C)C(=O)OC
15319,Cc1ccc(C2CCCN2S(=O)(=O)c2ccc(C(C)(C)C)cc2)cc1
65606,CCCCCCCC[S+]([O-])CCCCCCCO
69339,CCCCCCCC[S+]([O-])CCCCO
70065,O=C(O)C[NH+]1CCCCC1
25914,Cc1cc(S(=O)(=O)N(C)C)c(Cl)cc1Cl
66052,CCCCCCCCCCCCCCCCCCN(C)C
66366,CCCCCCCCCCCCCCCCN(C)C
54321,CC(C)CC(NS(C)(=O)=O)C(=O)O
62234,CS(=O)(=O)C1(C(=O)O)CCCC1
