,compound_id,smiles,docking_score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,rank,top_100
7193,ZINC000438344400,CCCCOc1ccccc1CNCC1(N(C)C)CCC1,-3.80088,CCCCOc1ccccc1CNCC1(N(C)C)CCC1,-3.80088,,-0.0,0,238.0,0
1685,ZINC000533623710,COc1ccc(NS(=O)(=O)c2cnc(C)s2)c(Br)c1,-3.80115,COc1ccc(NS(=O)(=O)c2cnc(C)s2)c(Br)c1,-3.80115,,-0.0,0,239.0,0
8182,ZINC000492338541,CC(C)Oc1ccc(/C=C\C(=O)N2CCOC[C@H]2c2ncon2)cc1,-3.80402,CC(C)Oc1ccc(/C=C\C(=O)N2CCOC[C@H]2c2ncon2)cc1,-3.80402,,-0.0,0,240.0,0
2804,ZINC000355204450,CCN(CCC1CC1)C(=O)N[C@@H](COC)c1ccco1,-3.80927,CCN(CCC1CC1)C(=O)N[C@@H](COC)c1ccco1,-3.80927,,-0.0,0,241.0,0
7552,ZINC000343217583,CC[C@@H](SC)C(=O)NCC1([C@H](C)CCO)CCC1,-3.81031,CC[C@@H](SC)C(=O)NCC1([C@H](C)CCO)CCC1,-3.81031,,-0.0,0,242.0,0
7214,ZINC000176327357,CCO[C@H]1C[C@@H](N(C)C(=O)CCCc2nc(C)no2)C1(CC)CC,-3.8106,CCO[C@H]1C[C@@H](N(C)C(=O)CCCc2nc(C)no2)C1(CC)CC,-3.8106,,-0.0,0,243.0,0
4272,ZINC000158230458,CC[C@@H](CCO)NC(=O)[C@@H](C)NC(=O)c1ccco1,-3.81202,CC[C@@H](CCO)NC(=O)[C@@H](C)NC(=O)c1ccco1,-3.81202,,-0.0,0,244.0,0
1980,ZINC000337047825,C=C[C@@H](C)NC(=O)CCCNC(=O)[C@@H]1CC=CCC1,-3.81274,C=C[C@@H](C)NC(=O)CCCNC(=O)[C@@H]1CC=CCC1,-3.81274,,-0.0,0,245.0,0
8185,ZINC000508386421,CC(C)CC(CC(C)C)NC(=O)N[C@@H](C)C(C)C,-3.81319,CC(C)CC(CC(C)C)NC(=O)N[C@@H](C)C(C)C,-3.81319,,-0.0,0,246.0,0
552,ZINC000425107917,C=CCCC(=O)Nc1ccc(Cl)cc1COC,-3.814880000000001,C=CCCC(=O)Nc1ccc(Cl)cc1COC,-3.814880000000001,,-0.0,0,247.0,0
5090,ZINC000282858049,CC[C@@H](C)CN(C)C(=O)NCc1cnn(CCOC)c1,-3.82113,CC[C@@H](C)CN(C)C(=O)NCc1cnn(CCOC)c1,-3.82113,,-0.0,0,248.0,0
7706,ZINC000357841287,CC[C@H]1CO[C@H](C)CN1C(=O)c1cc(C)c(C)cc1Cl,-3.82652,CC[C@H]1CO[C@H](C)CN1C(=O)c1cc(C)c(C)cc1Cl,-3.82652,,-0.0,0,249.0,0
3766,ZINC000628703702,CC(C)CC[C@H](CO)NC(=O)[C@@H]1CC(=O)N(C2CC2)C1,-3.85945,CC(C)CC[C@H](CO)NC(=O)[C@@H]1CC(=O)N(C2CC2)C1,-3.85945,,-0.0,0,250.0,0
7862,ZINC000413821010,CCC[C@]1(CO)CCN(C(=O)[C@@H](C)C(=O)OC(C)(C)C)C1,-3.86129,CCC[C@]1(CO)CCN(C(=O)[C@@H](C)C(=O)OC(C)(C)C)C1,-3.86129,,-0.0,0,251.0,0
5261,ZINC000547323136,COC(=O)c1ncsc1S(=O)(=O)N[C@@](C)(C(=O)OC)C1CC1,-3.86299,COC(=O)c1ncsc1S(=O)(=O)N[C@@](C)(C(=O)OC)C1CC1,-3.86299,,-0.0,0,252.0,0
2803,ZINC000593059613,CCNC(=O)NC(=O)CNC1(CC(=O)OC)CC1,-3.863280000000001,CCNC(=O)NC(=O)CNC1(CC(=O)OC)CC1,-3.863280000000001,,-0.0,0,253.0,0
9631,ZINC000179165881,COCCOc1ccc(C(=O)NC2(CN)CCCC2)cc1,-3.87022,COCCOc1ccc(C(=O)NC2(CN)CCCC2)cc1,-3.87022,,-0.0,0,254.0,0
9811,ZINC000494679721,C=CC[C@@H](CC)NC(=O)NCCCOc1ccc(C)cc1,-3.87093,C=CC[C@@H](CC)NC(=O)NCCCOc1ccc(C)cc1,-3.87093,,-0.0,0,255.0,0
6923,ZINC000570331250,CCOC[C@@H](NS(=O)(=O)c1ccccc1OC)C(=O)O,-3.87109,CCOC[C@@H](NS(=O)(=O)c1ccccc1OC)C(=O)O,-3.87109,,-0.0,0,256.0,0
7707,ZINC000358416486,COCC[C@H](COC)NC(=O)C1(N2CCOCC2)CCC1,-3.8719,COCC[C@H](COC)NC(=O)C1(N2CCOCC2)CCC1,-3.8719,,-0.0,0,257.0,0
7383,ZINC000265881002,C[C@H](CO)[C@H](C)NC(=O)N[C@@H](C)c1c(F)cccc1F,-3.87572,C[C@H](NC(=O)N[C@@H](C)[C@H](C)CO)c1c(F)cccc1F,-3.87572,,-0.0,0,258.0,0
3622,ZINC000627217555,Cc1ccncc1CN(C)C(=O)NCCOCCCN,-3.87589,Cc1ccncc1CN(C)C(=O)NCCOCCCN,-3.87589,,-0.0,0,259.0,0
7704,ZINC000346586545,CN(C)CCOCCNC(=O)[C@@H]1CCC[C@H](C(N)=O)C1,-3.87678,CN(C)CCOCCNC(=O)[C@@H]1CCC[C@H](C(N)=O)C1,-3.87678,,-0.0,0,260.0,0
4075,ZINC000342883310,CCOC(=O)C1(C(=O)NC[C@@H]2CCOC[C@H]2C)CC1,-3.87812,CCOC(=O)C1(C(=O)NC[C@@H]2CCOC[C@H]2C)CC1,-3.87812,,-0.0,0,261.0,0
4271,ZINC000109602021,CC(C)CN(Cc1ccc(C(=O)O)s1)C1CC1,-3.87944,CC(C)CN(Cc1ccc(C(=O)O)s1)C1CC1,-3.87944,,-0.0,0,262.0,0
2802,ZINC000493272102,CCO/C=C\C(=O)N[C@H](c1nc(C)cs1)C1CC1,-3.88371,CCO/C=C\C(=O)N[C@H](c1nc(C)cs1)C1CC1,-3.88371,,-0.0,0,263.0,0
