,compound_id,smiles,docking_score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,rank,top_100
1954,ZINC000596435288,C[C@@H](Nc1ccc2ncccc2c1[N+](=O)[O-])C1(CO)CC1,-5.44337,C[C@@H](Nc1ccc2ncccc2c1[N+](=O)[O-])C1(CO)CC1,-5.44337,,-0.0,0,2254.0,0
5712,ZINC000441501880,CO[C@H](C(=O)Nc1ccc(N2CCNC2=O)cc1C)c1cnn(C)c1,-7.79892,CO[C@H](C(=O)Nc1ccc(N2CCNC2=O)cc1C)c1cnn(C)c1,-7.79892,,-0.0,0,9041.0,0
8470,ZINC000612102582,Cc1nnc(N2CC[C@@H](C3CCCCC3)C2)n1C[C@H]1CCOC1,-4.54637,Cc1nnc(N2CC[C@@H](C3CCCCC3)C2)n1C[C@H]1CCOC1,-4.54637,,-0.0,0,698.0,0
631,ZINC000331803033,C[C@@H](CC[S@@](C)=O)NC(=O)Nc1scnc1C1CC1,-6.3204400000000005,C[C@@H](CC[S@@+](C)[O-])NC(=O)Nc1scnc1C1CC1,-6.3204400000000005,,-0.0,0,4984.0,0
6693,ZINC000493431278,COc1ccc(CCS(=O)(=O)NC(=O)/C=C\[C@H]2CCOC2)cc1,-6.071219999999999,COc1ccc(CCS(=O)(=O)NC(=O)/C=C\[C@H]2CCOC2)cc1,-6.071219999999999,,-0.0,0,4156.0,0
7780,ZINC000413036040,CC(C)Oc1cc(C(=O)N2CCC[C@@H](C(N)=O)C2)ccc1[N+](=O)[O-],-6.19679,CC(C)Oc1cc(C(=O)N2CCC[C@@H](C(N)=O)C2)ccc1[N+](=O)[O-],-6.19679,,-0.0,0,4583.0,0
2623,ZINC000564350499,COC(=O)c1cccc(S(=O)(=O)N2CCN3C(=O)[C@H](N)C[C@@H]3C2)c1,-4.42495,COC(=O)c1cccc(S(=O)(=O)N2CCN3C(=O)[C@H](N)C[C@@H]3C2)c1,-4.42495,,-0.0,0,594.0,0
6516,ZINC000108757346,CCN1CCN(C(=O)CC2CCN(C(=O)C3=COCCC3)CC2)CC1,-6.97545,CCN1CCN(C(=O)CC2CCN(C(=O)C3=COCCC3)CC2)CC1,-6.97545,,-0.0,0,7210.0,0
7545,ZINC000334775078,C[C@@H]1CCCC[C@@H]1N(C)C(=O)NCc1nn(C)cc1Cl,-4.0184,C[C@@H]1CCCC[C@@H]1N(C)C(=O)NCc1nn(C)cc1Cl,-4.0184,,-0.0,0,318.0,0
1939,ZINC000276882470,CCOC(=O)c1csc([C@H]2CCCN2C(=O)c2ccncn2)n1,-5.83898,CCOC(=O)c1csc([C@H]2CCCN2C(=O)c2ccncn2)n1,-5.83898,,-0.0,0,3369.0,0
8188,ZINC000476246070,CCC(C)(C)N[C@@H](C)C(=O)N1CCCCc2ccccc21,-1.76602,CCC(C)(C)N[C@@H](C)C(=O)N1CCCCc2ccccc21,-1.76602,,-0.0,0,2.0,1
8678,ZINC000655564129,CCCCN1CCOC[C@H]1C(=O)NC[C@H](C(=O)O)C(C)C,-2.9504,CCCCN1CCOC[C@H]1C(=O)NC[C@H](C(=O)O)C(C)C,-2.9504,,-0.0,0,56.0,1
9686,ZINC000534795082,CNCCCc1[nH]nc(NC(=O)c2cnn3c2CCCC3)c1C#N,-7.35597,CNCCCc1[nH]nc(NC(=O)c2cnn3c2CCCC3)c1C#N,-7.35597,,-0.0,0,8225.0,0
2172,ZINC000274148074,Cc1cn2nc(N3CC[C@]4(CCN(C(=O)OC(C)(C)C)C4)C3)sc2n1,-7.15578,Cc1cn2nc(N3CC[C@]4(CCN(C(=O)OC(C)(C)C)C4)C3)sc2n1,-7.15578,,-0.0,0,7707.0,0
7750,ZINC000503767565,Cc1ccc(-c2nnc(COc3ccc(C(C)C)c(C)c3)o2)cc1,-6.77918,Cc1ccc(-c2nnc(COc3ccc(C(C)C)c(C)c3)o2)cc1,-6.77918,,-0.0,0,6595.0,0
1511,ZINC000422260742,CC[C@H]1CN(C(=O)C(=O)N[C@@H](C)c2cccnc2)C[C@H](CC)O1,-5.30633,CC[C@H]1CN(C(=O)C(=O)N[C@@H](C)c2cccnc2)C[C@H](CC)O1,-5.30633,,-0.0,0,1925.0,0
822,ZINC000564916044,CC(C)(C)c1noc(CN2CCc3sc(Cl)cc3C2)n1,-5.69749,CC(C)(C)c1noc(CN2CCc3sc(Cl)cc3C2)n1,-5.69749,,-0.0,0,2935.0,0
8981,ZINC000580192186,C=CCc1ccc(OC[C@@H](O)CN[C@@H]2CCCCC[C@H]2O)c(OC)c1,-8.25617,C=CCc1ccc(OC[C@@H](O)CN[C@@H]2CCCCC[C@H]2O)c(OC)c1,-8.25617,,-0.0,0,9564.0,0
6475,ZINC000330299459,O=C(CN1CCS(=O)(=O)CC1)N1CCC[C@H](OCC2CC2)C1,-4.8701,O=C(CN1CCS(=O)(=O)CC1)N1CCC[C@H](OCC2CC2)C1,-4.8701,,-0.0,0,1074.0,0
1632,ZINC000569800661,Cn1cc(C[C@H]2CCN(C(=O)NC[C@H]3CC34CCSCC4)C2)cn1,-5.93049,Cn1cc(C[C@H]2CCN(C(=O)NC[C@H]3CC34CCSCC4)C2)cn1,-5.93049,,-0.0,0,3681.0,0
69,ZINC000375517096,CC[C@@H]1[C@H](c2ccc(C)cc2)CCN1C(=O)[C@H]1CCc2nn[nH]c2C1,-5.09646,CC[C@@H]1[C@H](c2ccc(C)cc2)CCN1C(=O)[C@H]1CCc2nn[nH]c2C1,-5.09646,,-0.0,0,1479.0,0
5698,ZINC000336013427,C[C@@H]1CCN(C(=O)NC[C@@H]2CCCOC2)CC1(C)C,-4.83296,C[C@@H]1CCN(C(=O)NC[C@@H]2CCCOC2)CC1(C)C,-4.83296,,-0.0,0,1023.0,0
