ID smiles score
CPD000010034 CC(C)Sc1nc2n(C)c(=O)[nH]c(=O)c2n1CC(O)COc3ccccc3C -4.622
CPD002394561 COc1ccc(NS(=O)(=O)c2ccc3oc(SCC(=O)N4CCCCCC4)nc3c2)cc1 -6.454
CPD002367229 CCc1ccccc1NC(=O)CCS(=O)(=O)c2ccc3n(C)c(=O)oc3c2 -5.760
CPD000595698 COc1ccc(Br)cc1CN(C)C(=O)c2cc(Cl)c3OCCOc3c2 -6.609
CPD001660657 Fc1ccc(CNC(=O)c2ccc(cc2)c3csc(n3)C4CC4)cc1 -4.921
CPD002370225 CCOC(=O)c1cnc(Nc2ccccc2OCC)c3ccccc13 -3.760
CPD002376264 CCCOc1ccc(NC(=O)c2ccccc2)c3cccnc13 -3.641
CPD002394562 Cc1ccc(cc1C)C(=O)NCC(=O)OCc2cc(=O)oc3cc(O)ccc23 -7.561
CPD002367230 CCc1ccc(NC(=O)CCS(=O)(=O)c2ccc3n(C)c(=O)oc3c2)cc1 -4.422
CPD000010084 Cn1c(=O)n(C)c2ncn(CC(=O)Nc3nc4ccccc4s3)c2c1=O -6.323
CPD000595701 COc1ccc(CC(=O)Nc2ccccc2c3ccccc3)cc1OC -5.249
CPD002373340 O=C(CNC(=O)c1ccccc1)N(c2ccccc2)C3(CCCCC3)C(=O)NC4CCCCC4 -1.806
CPD000010483 COc1ccc(CN2CCN(Cc3ccncc3)CC2)cc1OC.OC(=O)C(=O)O -2.315
CPD002367231 CCc1cccc(NC(=O)CCS(=O)(=O)c2ccc3n(C)c(=O)oc3c2)c1 -2.778
CPD001660677 O=C(NCc1ccccc1)c2ccc(cc2)c3csc(n3)C4CC4 -3.114
CPD000595777 COc1ccc(OCCn2cnc3n(C)c(=O)n(C)c(=O)c23)cc1 -2.144
CPD002370226 CCOC(=O)c1cnc(Nc2ccccc2C)c3ccccc13 -4.522
CPD002373341 Cc1ccccc1C(=O)Nc2ccc3nc(cc(C)c3c2)N4CCCCC4 -3.153
CPD002376265 CCCOc1ccc(NC(=O)c2ccc(C)cc2)c3cccnc13 -3.765
CPD002394563 Cc1cc(C)cc(NC(=O)c2ccc3ccccc3n2)c1 -5.623
CPD000010508 Cc1ccc(NC(=O)Cn2nc(C)c3ccccc3c2=O)c(C)c1 -5.120
CPD001661165 Cc1ccc(NC(=O)CN2C=Cc3sccc3C2=O)c(C)c1 -5.480
CPD002370227 CCOC(=O)c1cnc(Nc2cc(F)ccc2F)c3ccccc13 -3.984
CPD000595836 CCn1cnc2n(Cc3ccccc3)c(=O)n(CC(=O)O)c(=O)c12 -4.665
CPD002367232 Cc1ccc(Cl)cc1N2CCN(CC2)S(=O)(=O)c3ccc4SCCC(=O)Nc4c3 -5.549
CPD002394564 CC(NC(=O)COc1ccc(Cl)c(Cl)c1)c2ccccc2 -2.998
CPD002376266 CCCOc1ccc(NC(=O)c2cccc(C)c2)c3cccnc13 -4.002
CPD002373342 CCN1CCN(CC1)c2cc(C)c3cc(NC(=O)CC4CCCCC4)ccc3n2 -5.491
CPD000010510 Cc1nn(CC(=O)NCc2ccccc2)c(=O)c3ccccc13 -4.115
CPD001799064 OC(c1ccc(NC(=O)c2ccc(Cl)cc2)cc1)(C(F)(F)F)C(F)(F)F -5.128
CPD002370228 CCOC(=O)c1cnc(Nc2ccc(C)c(C)c2)c3ccccc13 -4.657
CPD002376267 CCCOc1ccc(NC(=O)c2ccccc2Cl)c3cccnc13 -3.883
CPD002373343 Cc1cccc(NC2=NN=C(Cc3ccccc3)C(=O)N2)c1 -3.975
CPD002367233 CC(=O)c1ccc(cc1)N2CCN(CC2)S(=O)(=O)c3ccc4SCCC(=O)Nc4c3 -4.892
CPD000010540 CCNc1nc(Oc2ccc(cc2)C(=O)OC)nc(SC)n1 -5.177
CPD001813668 Clc1ccc2[nH]c(cc2c1)C(=O)NCc3ccc4OCOc4c3 -6.001
CPD000595837 CC(C)CCn1cnc2n(Cc3ccccc3)c(=O)n(CC(=O)NCC=C)c(=O)c12 -4.981
CPD002394565 CCCn1nc(C(=O)OCC(=O)Nc2ccc3OCOc3c2)c4ccccc4c1=O -3.542
CPD000011034 Cn1c(=O)n(C)c2nc(Br)n(CC=C)c2c1=O -3.975
CPD002370229 CCOC(=O)c1cnc(Nc2ccc(C)cc2)c3ccccc13 -4.702
CPD002376268 CCCOc1ccc(NC(=O)c2ccc(Cl)cc2)c3cccnc13 -3.847
CPD002373344 Cc1ccc(NC2=NN=C(Cc3ccccc3)C(=O)N2)cc1Cl -5.124
CPD002367234 Fc1ccccc1N2CCN(CC2)S(=O)(=O)c3ccc4SCCC(=O)Nc4c3 -5.296
CPD001813945 Clc1ccc(cc1)c2csc(n2)c3cccnc3.Br -6.046
CPD000595882 Cc1cc(=O)oc2cc(NC(=O)Cc3ccccc3)ccc12 -5.605
CPD002370230 CCOC(=O)c1cnc(Nc2ccccc2)c3ccccc13 -4.454
CPD002394566 O=C(OCc1csc(n1)c2ccccc2)c3ccc(cc3)S(=O)(=O)N4CCOCC4 -2.107
CPD000011036 Cn1c(=O)n(C)c2nc(SCC(=O)OCc3ccccc3)n(CC=C)c2c1=O -3.601
CPD002376269 CCCOc1ccc(NC(=O)COc2ccccc2)c3cccnc13 -3.444
CPD002373345 CC(C)(C)C1=NN=C(Nc2cc(Cl)ccc2Cl)NC1=O -3.500
CPD000595984 Fc1ccc(F)c(NC(=O)Cc2ccsc2)c1 -3.241
CPD001821196 CN(Cc1ccccc1)C(=O)C(=O)c2c[nH]c3ccccc23 -3.234
CPD002370231 CCOC(=O)c1cnc(Nc2cccc(C)c2C)c3ccccc13 -4.461
CPD002367235 O=C(C1CCN(CC1)S(=O)(=O)c2ccc3NC(=O)CCCc3c2)N4CCOCC4 -6.110
CPD002373346 CC(C)(C)C1=NN=C(Nc2ccc(Cl)c(Cl)c2)NC1=O -4.261
CPD002373347 CC(C)(C)C1=NN=C(Nc2ccc(Br)cc2)NC1=O -4.377
CPD002370232 CCOC(=O)c1cnc(Nc2cccc(F)c2)c3ccccc13 -4.427
CPD002367236 O=C(C1CCCN(C1)S(=O)(=O)c2ccc3NC(=O)CCCc3c2)N4CCC5(CC4)OCCO5 -5.448
CPD001831160 O=C(CSc1nc(c(o1)c2ccccc2)c3ccccc3)N4CCCCC4 -3.658
CPD000011038 CN1CCN(CC1)c2nc3n(C)c(=O)n(C)c(=O)c3n2CC(=O)N -5.562
CPD002376270 CCCOc1ccc(NC(=O)COc2ccc(F)cc2)c3cccnc13 -3.987
CPD000596106 CN(Cc1ccc(C)o1)C(=O)CCc2c[nH]c3ccccc23 -4.081
