,compound_id,smiles,docking_score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,rank
6099,ZINC000179718797,C[C@@]1(O)CCN(C(=O)c2ccc(S(C)(=O)=O)c(Br)c2)C1,-6.663930000000001,C[C@@]1(O)CCN(C(=O)c2ccc(S(C)(=O)=O)c(Br)c2)C1,-6.663930000000001,,-0.0,0,6161.0
9725,ZINC000348209797,COCC[C@H](C)NC(=O)[C@@H](C)Oc1cnc2ccccc2c1,-6.79294,COCC[C@H](C)NC(=O)[C@@H](C)Oc1cnc2ccccc2c1,-6.79294,,-0.0,0,6641.0
2446,ZINC000085465114,C[C@@H](Nc1ncncc1Br)c1ccccc1,-5.16823,C[C@@H](Nc1ncncc1Br)c1ccccc1,-5.16823,,-0.0,0,1616.0
836,ZINC000412389336,CC(C)c1ccc([C@H](C)CC(=O)NC[C@H](C)N(C)C)cc1,-5.1858,CC(C)c1ccc([C@H](C)CC(=O)NC[C@H](C)N(C)C)cc1,-5.1858,,-0.0,0,1652.0
6764,ZINC000353805141,CCN1C[C@@H](C)N(Cc2ccc(N3CCCC3)nc2)C[C@H]1C,-5.74797,CCN1C[C@@H](C)N(Cc2ccc(N3CCCC3)nc2)C[C@H]1C,-5.74797,,-0.0,0,3096.0
2526,ZINC000174422918,CC[C@H](NCc1ccc(CO)o1)c1cc(F)ccc1F,-6.9001,CC[C@H](NCc1ccc(CO)o1)c1cc(F)ccc1F,-6.9001,,-0.0,0,6987.0
938,ZINC000638998657,O=C(N[C@@H](C1CCC1)[C@H]1CCCO1)c1cccc2c1CNC2,-6.328469999999999,O=C(N[C@@H](C1CCC1)[C@H]1CCCO1)c1cccc2c1CNC2,-6.328469999999999,,-0.0,0,5018.0
6187,ZINC000253294793,COCCS(=O)(=O)N1CC[C@@H](C)[C@H](OC)C1,-4.65531,COCCS(=O)(=O)N1CC[C@@H](C)[C@H](OC)C1,-4.65531,,-0.0,0,801.0
1109,ZINC000339675391,CC[C@H](NC(=O)C(=O)NCCc1ccco1)c1ccc(Cl)cc1,-7.508030000000001,CC[C@H](NC(=O)C(=O)NCCc1ccco1)c1ccc(Cl)cc1,-7.508030000000001,,-0.0,0,8548.0
3365,ZINC000344007476,C[C@H]1[C@H](C(F)(F)F)CCN1C(=O)Nc1ccc(C(N)=O)nc1,-6.45951,C[C@H]1[C@H](C(F)(F)F)CCN1C(=O)Nc1ccc(C(N)=O)nc1,-6.45951,,-0.0,0,5458.0
2661,ZINC000295027754,O=C(NC[C@@H](O)CCc1ccccc1)[C@@H]1CC1(F)F,-7.14827,O=C(NC[C@@H](O)CCc1ccccc1)[C@@H]1CC1(F)F,-7.14827,,-0.0,0,7682.0
7059,ZINC000132500976,Cn1c2ccc(NC(=O)C3(C#N)CCOCC3)cc2nc1C(C)(C)C,-5.12498,Cn1c(C(C)(C)C)nc2cc(NC(=O)C3(C#N)CCOCC3)ccc21,-5.12498,,-0.0,0,1527.0
6694,ZINC000681577725,O=C(O)[C@H](NS(=O)(=O)C1Cc2ccccc2C1)c1ccsc1,-6.0556,O=C(O)[C@H](NS(=O)(=O)C1Cc2ccccc2C1)c1ccsc1,-6.0556,,-0.0,0,4099.0
5315,ZINC000286757401,O=C(NC(C1CCC1)C1CCC1)c1cccc(N2CCOC2=O)c1,-6.40759,O=C(NC(C1CCC1)C1CCC1)c1cccc(N2CCOC2=O)c1,-6.40759,,-0.0,0,5292.0
2134,ZINC000458562205,O=C(NCCc1ccncc1)N1CCCc2ccccc2CC1,-4.3679,O=C(NCCc1ccncc1)N1CCCc2ccccc2CC1,-4.3679,,-0.0,0,547.0
7638,ZINC000344810370,COC[C@H]1C[C@@H](OC)CN1C(=O)c1ccc(Br)c(C)c1,-5.99631,COC[C@H]1C[C@@H](OC)CN1C(=O)c1ccc(Br)c(C)c1,-5.99631,,-0.0,0,3905.0
6548,ZINC000276219003,COC1CCN(C(=O)c2cccc(NC(C)=O)c2C)CC1,-6.05829,COC1CCN(C(=O)c2cccc(NC(C)=O)c2C)CC1,-6.05829,,-0.0,0,4113.0
