,Unnamed: 0,ID,SMILES,score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate
23948,23949,CPD002490262,Clc1ccc(CNC(=O)c2onc(Cc3c[nH]c4ccccc34)n2)cc1,-5.532,O=C(NCc1ccc(Cl)cc1)c1nc(Cc2c[nH]c3ccccc23)no1,-5.532,,-0.0,0
50603,50604,CPD002400399,Cc1cc(C)cc(NC(=O)COc2ccc3c(C)cc(=O)oc3c2)c1,-4.791,Cc1cc(C)cc(NC(=O)COc2ccc3c(C)cc(=O)oc3c2)c1,-4.791,,-0.0,0
18470,18471,CPD000011733,Cc1ccccc1OCC(O)Cn2c(NCc3ccco3)nc4n(C)c(=O)n(C)c(=O)c24,-5.741,Cc1ccccc1OCC(O)Cn1c(NCc2ccco2)nc2c1c(=O)n(C)c(=O)n2C,-5.741,,-0.0,0
50688,50689,CPD001940234,COc1nc2ccccc2nc1N3CCC(CC3)C(=O)Nc4ccccc4F,-4.789,COc1nc2ccccc2nc1N1CCC(C(=O)Nc2ccccc2F)CC1,-4.789,,-0.0,0
3724,3725,CPD001394823,CCN(Cc1ccc2OCOc2c1)C(=O)C3=CC(=O)c4cc(C)ccc4O3,-7.474,CCN(Cc1ccc2c(c1)OCO2)C(=O)c1cc(=O)c2cc(C)ccc2o1,-7.474,,-0.0,0
27175,27176,CPD001239374,Clc1ccc(Cl)c(OCC(=O)N2CCNC2=O)c1,-5.425,O=C(COc1cc(Cl)ccc1Cl)N1CCNC1=O,-5.425,,-0.0,0
54206,54207,CPD002454829,CC1CCN(CC1)c2nc3n(C)c(=O)n(C)c(=O)c3n2Cc4cccc(c4)C(F)(F)F,-4.697,CC1CCN(c2nc3c(c(=O)n(C)c(=O)n3C)n2Cc2cccc(C(F)(F)F)c2)CC1,-4.697,,-0.0,0
38686,38687,CPD002413217,CSc1ccc(C=NNc2ccc(F)cc2)cc1,-5.098,CSc1ccc(C=NNc2ccc(F)cc2)cc1,-5.098,,-0.0,0
8930,8931,CPD002436591,CC(C)n1c(SC(C)C(=O)Nc2nccs2)nnc1c3ccco3,-6.327,CC(Sc1nnc(-c2ccco2)n1C(C)C)C(=O)Nc1nccs1,-6.327,,-0.0,0
73053,73054,CPD002429625,FC(F)Oc1ccccc1\C=C(\C#N)/c2nc3cc(ccc3s2)C(F)(F)F,-4.062,N#C/C(=C/c1ccccc1OC(F)F)c1nc2cc(C(F)(F)F)ccc2s1,-4.062,,-0.0,0
64265,64266,CPD002392870,COCCNC(=O)c1cc(nc2ccccc12)c3cc(OC)c(OC)c(OC)c3,-4.406,COCCNC(=O)c1cc(-c2cc(OC)c(OC)c(OC)c2)nc2ccccc12,-4.406,,-0.0,0
17756,17757,CPD002456271,O=C(N1CCOCC1)c2cc(nc3ccccc23)c4ccc5OCCOc5c4,-5.773,O=C(c1cc(-c2ccc3c(c2)OCCO3)nc2ccccc12)N1CCOCC1,-5.773,,-0.0,0
79909,79910,CPD002433930,COc1ccc(cc1Cl)C(=O)Nc2cccc3ccc(C)nc23,-3.508,COc1ccc(C(=O)Nc2cccc3ccc(C)nc23)cc1Cl,-3.508,,-0.0,0
5775,5776,CPD002414544,Clc1ccc(cc1)c2onc3ccc(cc23)c4ccccc4,-6.793,Clc1ccc(-c2onc3ccc(-c4ccccc4)cc23)cc1,-6.793,,-0.0,0
34440,34441,CPD002408058,COc1ccc(C)cc1CC(=O)N(Cc2occc2)C3CCS(=O)(=O)C3,-5.211,COc1ccc(C)cc1CC(=O)N(Cc1ccco1)C1CCS(=O)(=O)C1,-5.211,,-0.0,0
1904,1904,CPD002485726,[O-]c1cc2OC(=O)C=C(C[NH+]3CCN(CC3)c4ccccc4)c2cc1Cl,-8.257,O=c1cc(C[NH+]2CCN(c3ccccc3)CC2)c2cc(Cl)c([O-])cc2o1,-8.257,,-0.0,0
57461,57462,CPD002402927,Clc1ccc(c(Cl)c1)c2csc(CN3C(=O)c4ccccc4S3(=O)=O)n2,-4.606,O=C1c2ccccc2S(=O)(=O)N1Cc1nc(-c2ccc(Cl)cc2Cl)cs1,-4.606,,-0.0,0
16469,16470,CPD002409531,CC1=NN(CC(=O)Nc2nc3ccccc3s2)C(=O)c4ccccc14,-5.832,Cc1nn(CC(=O)Nc2nc3ccccc3s2)c(=O)c2ccccc12,-5.832,,-0.0,0
55962,55963,CPD002428880,Cc1sc(N)nc1Cc2ccccc2,-4.648,Cc1sc(N)nc1Cc1ccccc1,-4.648,,-0.0,0
41949,41950,CPD002367987,Cc1cc(C)cc(NC(=O)C2CCN(CC2)c3ncnc4c5cccnc5sc34)c1,-5.012,Cc1cc(C)cc(NC(=O)C2CCN(c3ncnc4c3sc3ncccc34)CC2)c1,-5.012,,-0.0,0
36461,36462,CPD002397598,COc1ccccc1NC(=O)c2cc(=O)c3ccccc3o2,-5.155,COc1ccccc1NC(=O)c1cc(=O)c2ccccc2o1,-5.155,,-0.0,0
27553,27554,CPD002456139,Cn1c(=O)n(C)c2nc(NCCc3ccc(F)cc3)n(Cc4ccc(F)cc4)c2c1=O,-5.413,Cn1c(=O)c2c(nc(NCCc3ccc(F)cc3)n2Cc2ccc(F)cc2)n(C)c1=O,-5.413,,-0.0,0
65719,65720,CPD002402157,FC(F)(F)c1cccc(c1)S(=O)(=O)N2CCC(CC2)C(=O)NCc3cnn(c3)c4ccccc4,-4.359,O=C(NCc1cnn(-c2ccccc2)c1)C1CCN(S(=O)(=O)c2cccc(C(F)(F)F)c2)CC1,-4.359,,-0.0,0
45221,45222,CPD002454502,CN1C(=O)N(C)c2nc([nH]c2C1=O)N3CCN(CC3)C(=O)C4CCCCC4,-4.927,Cn1c(=O)c2[nH]c(N3CCN(C(=O)C4CCCCC4)CC3)nc2n(C)c1=O,-4.927,,-0.0,0
52688,52689,CPD002414470,Brc1ccc(cc1)c2cc(C(=O)NC3CCCCC3)c4ccccc4n2,-4.736,O=C(NC1CCCCC1)c1cc(-c2ccc(Br)cc2)nc2ccccc12,-4.736,,-0.0,0
19158,19159,CPD002441215,NC(=N)COc1cc(Cl)ccc1Cl.Cl,-5.713,N=C(N)COc1cc(Cl)ccc1Cl,-5.713,,-0.0,0
31377,31378,CPD002394372,CC1=C(Cc2ccccc2)C(=O)NC(=N1)Nc3nc(C)c4ccc(C)cc4n3,-5.296,Cc1ccc2c(C)nc(Nc3nc(C)c(Cc4ccccc4)c(=O)[nH]3)nc2c1,-5.296,,-0.0,0
15779,15780,CPD000641591,CCOC(=O)CNC(=O)COc1coc(CN2CCN(CC2)c3ccccc3F)cc1=O,-5.864,CCOC(=O)CNC(=O)COc1coc(CN2CCN(c3ccccc3F)CC2)cc1=O,-5.864,,-0.0,0
78067,78068,CPD002444704,Ic1cccc(c1)C(=O)NC2(CC3CC4CC(C3)C2)C4,-3.718,O=C(NC12CC3CC(CC(C3)C1)C2)c1cccc(I)c1,-3.718,,-0.0,0
2858,2858,CPD002488854,Clc1cccc2c1ccn2CC(=O)\N=C\3/NN=C(S3)C4CC4,-7.87,O=C(Cn1ccc2c(Cl)cccc21)/N=c1\[nH]nc(C2CC2)s1,-7.87,,-0.0,0
52048,52049,CPD002368802,CCc1ccccc1NS(=O)(=O)c2c(C)n(C)c(C)c2C(=O)N3CCOCC3,-4.754,CCc1ccccc1NS(=O)(=O)c1c(C(=O)N2CCOCC2)c(C)n(C)c1C,-4.754,,-0.0,0
32238,32239,CPD000039051,COC(=O)C(Cc1ccc(O)cc1)NC(=O)CCC(=O)Nc2ccc(cc2)S(=O)(=O)N,-5.272,COC(=O)C(Cc1ccc(O)cc1)NC(=O)CCC(=O)Nc1ccc(S(N)(=O)=O)cc1,-5.272,,-0.0,0
14827,14828,CPD002410032,CN(Cc1cccc(Cl)c1Cl)C(=O)c2ccccc2NS(=O)(=O)C,-5.909,CN(Cc1cccc(Cl)c1Cl)C(=O)c1ccccc1NS(C)(=O)=O,-5.909,,-0.0,0
52798,52799,CPD002372162,COc1cccc(CNS(=O)(=O)c2cc(ccc2OC)c3cnn4c(C)cc(C)nc34)c1,-4.734,COc1cccc(CNS(=O)(=O)c2cc(-c3cnn4c(C)cc(C)nc34)ccc2OC)c1,-4.734,,-0.0,0
5723,5724,CPD001937741,Cn1cc(c2cc3N(CCCn3n2)C(=O)CCC(=O)NC4CCCC4)c5ccccc15,-6.802,Cn1cc(-c2cc3n(n2)CCCN3C(=O)CCC(=O)NC2CCCC2)c2ccccc21,-6.802,,-0.0,0
1696,1696,CPD002483910,Cc1ccc(o1)c2cc(C(=O)O)c3cc(C)ccc3n2,-8.35,Cc1ccc2nc(-c3ccc(C)o3)cc(C(=O)O)c2c1,-8.35,,-0.0,0
61784,61785,CPD002418978,COc1ccc(cc1F)C(=O)\C=C\c2ccc(cc2)C(F)(F)F,-4.482,COc1ccc(C(=O)/C=C/c2ccc(C(F)(F)F)cc2)cc1F,-4.482,,-0.0,0
51610,51611,CPD002418856,CC(OC(=O)c1ccc2SCC(=O)Nc2c1)C(=O)NC(C)(C)C,-4.766,CC(OC(=O)c1ccc2c(c1)NC(=O)CS2)C(=O)NC(C)(C)C,-4.766,,-0.0,0
79252,79253,CPD000706194,COC(=O)c1cc(ccc1N2CCOCC2)S(=O)(=O)N3CCCCC3,-3.594,COC(=O)c1cc(S(=O)(=O)N2CCCCC2)ccc1N1CCOCC1,-3.594,,-0.0,0
77945,77946,CPD002486410,CCCCC(=O)Nc1oc2c(C)cccc2c(=O)c1c3cc(OC)c(OC)c(OC)c3,-3.73,CCCCC(=O)Nc1oc2c(C)cccc2c(=O)c1-c1cc(OC)c(OC)c(OC)c1,-3.73,,-0.0,0
57924,57925,CPD002182823,COc1ccc2c(c1)c(C(=O)NC(C)C(C)C)c(C)n2C3CC3,-4.593,COc1ccc2c(c1)c(C(=O)NC(C)C(C)C)c(C)n2C1CC1,-4.593,,-0.0,0
69571,69572,CPD002394560,Cc1ccc2c(CSc3nnnn3c4ccccc4)cc(=O)oc2c1,-4.217,Cc1ccc2c(CSc3nnnn3-c3ccccc3)cc(=O)oc2c1,-4.217,,-0.0,0
47512,47513,CPD002417568,FC(F)(F)c1ccc(nc1)N2CCCN(CC3=CC(=O)N4C=CC=CC4=N3)CC2,-4.871,O=c1cc(CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)nc2ccccn12,-4.871,,-0.0,0
34731,34732,CPD002397456,Cc1c(sc2ccccc12)C(=O)CSc3nnc(C4CC4)n3C,-5.203,Cc1c(C(=O)CSc2nnc(C3CC3)n2C)sc2ccccc12,-5.203,,-0.0,0
